Fecha,Area_Sanitaria,Pacientes_Sin_Alta,Pacientes_Con_Alta,Exitus
2020-04-27,"A.S. LUGO, A MARIÑA E MONFORTE",208,605,28
2020-04-27,"A.S. OURENSE, VERÍN E O BARCO",657,991,113
2020-04-27,A.S. PONTEVEDRA E O SALNÉS,210,529,15
2020-04-27,A.S. SANTIAGO E BARBANZA,455,887,96
2020-04-27,A.S. VIGO,835,907,124
2020-04-27,GALICIA,3295,5623,552
2020-04-28,A.S. A CORUÑA E CEE,777,1385,149
2020-04-28,A.S. FERROL,128,376,27
2020-04-28,"A.S. LUGO, A MARIÑA E MONFORTE",204,617,28
2020-04-28,"A.S. OURENSE, VERÍN E O BARCO",649,1016,113
2020-04-28,A.S. PONTEVEDRA E O SALNÉS,184,562,15
2020-04-28,A.S. SANTIAGO E BARBANZA,439,919,97
